"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"SETBONUS_HUMANFLESH_NAME","Human Flesh Set Bonus!","","¡Bonificación de conjunto de carne humana!","Bonus d'ensemble&nbsp;: chair humaine&nbsp;!","Setbonus: Rüstung aus Menschenfleisch!","Bonus Set: Carne Umana!","Bônus de Conjunto de Carne Humana!","Бонус комплекта из человеческой плоти!","","",""
"SETBONUS_HUMANFLESH_DESC","+50% Crit Chance on humanoid enemies.
When downed, inflict Fear 2 on all enemies.","","+50 % de probabilidad de crítico a enemigos humanoides.
Cuando esta unidad está abatida, inflige 2 de miedo a todos los enemigos.","Chances de coup critique +50&nbsp;% sur les ennemis humanoïdes.
Inflige Peur +2&nbsp;à tous les ennemis quand vous êtes mis K.O.","+50&nbsp;% kritische Trefferchance bei humanoiden Gegnern.
Wenn du in Ohnmacht fällst, verursachst du Angst&nbsp;2 bei allen Gegnern.","+50% di probabilità di colpo critico sui nemici umanoidi.
Quando sei KO, infliggi Paura 2 a tutti i nemici.","+50% de chance de crítico em inimigos humanoides.
Ao ficar inconsciente, aplique medo 2 em todos os inimigos.","+50% шанс крита по гуманоидным врагам.
При вырубании накладывает Страх 2 на всех врагов.","","",""
"","","","","","","","","","","",""
"ARMOR_HUNTERCAP_NAME","Hunter's Cap","","Gorro de cazador","Chapeau de sentinelle","Jägerhut","Berretto da Cacciatore","Chapéu de Caçador","Шляпа охотника","","",""
"ARMOR_HUNTERCAP_DESC","Your familiars gain All Stats Up.","","Los familiares obtienen aumento total.","Confère Hausse de stats à vos familiers.","Deine Begleiter erhalten einen Bonus auf alle Attribute.","I tuoi famigli ottengono Aumento delle Statistiche.","Seus familiares obtêm todos os atributos aumentados.","Ваши фамильяры получают повышение всех характеристик.","","",""
"ARMOR_HUNTERQUIVER_NAME","Hunter's Quiver","","Carcaj de cazador","Carquois de sentinelle","Jägerköcher","Faretra da Cacciatore","Aljava de Caçador","Колчан охотника","","",""
"ARMOR_HUNTERQUIVER_DESC","Start each battle with 2 bonus attacks.","","Empieza cada combate con 2 de bonificación de ataque.","Vous débutez chaque combat avec Attaque bonus +2.","Beginne jeden Kampf mit 2&nbsp;Bonusangriffen.","Inizi ogni battaglia con 2 attacchi bonus.","Inicie cada batalha com 2 ataques bônus.","Начинайте каждый бой с 2 бонусными атаками.","","",""
"ARMOR_HUNTERMONOCLE_NAME","Hunter's Monocle","","Monóculo de cazador","Monocle de sentinelle","Jägermonokel","Monocolo da Cacciatore","Monóculo de Caçador","Монокль охотника","","",""
"ARMOR_HUNTERMONOCLE_DESC","+2 range.","","+2 de alcance.","Portée +2.","+2&nbsp;Reichweite.","+2 al raggio d'azione.","+2 de alcance.","+2 дальность.","","",""
"SETBONUS_HUNTER_NAME","Hunter Set Bonus!","","¡Bonificación de conjunto de cazador!","Bonus d'ensemble&nbsp;: sentinelle&nbsp;!","Setbonus: Jägerrüstung!","Bonus Set: Cacciatore!","Bônus de Conjunto de Caçador!","Бонус комплекта охотника!","","",""
"SETBONUS_HUNTER_DESC","+50% Crit Chance while standing in tall grass.","","+50 % de probabilidad de crítico en la hierba alta.","Chances de coup critique +50&nbsp;% quand vous êtes dans les hautes herbes.","+50&nbsp;% kritische Trefferchance, während du in hohem Gras stehst.","+50% di probabilità di colpo critico quando sei nell'erba alta.","+50% de chance de crítico enquanto estiver em espaços de grama alta.","+50% шанс крита в высокой траве.","","",""
"","","","","","","","","","","",""
"ARMOR_HYBRIDHAT_NAME","Hybrid Hat","","Sombrero híbrido","Chapeau hybride","Hybridhut","Cappello Ibrido","Chapéu Híbrido","Гибридная шляпа","","",""
"ARMOR_HYBRIDHAT_DESC","Start with a bonus move and Bleed 1.","","Empieza con una bonificación de movimiento y 1 de hemorragia.","Vous débutez avec Déplacement bonus +1&nbsp;et Saignement +1.","Beginne jeden Kampf mit einer Bonusbewegung und Blutung&nbsp;1.","Inizi con un movimento bonus e Sanguinamento 1.","Inicie com um movimento bônus e sangramento 1.","Начинаете с бонусным передвижением и Кровотечением 1.","","",""
"ARMOR_HYBRIDMASK_NAME","Hybrid Mask","","Máscara híbrida","Masque hybride","Hybridmaske","Maschera Ibrida","Máscara Híbrida","Гибридная маска","","",""
"ARMOR_HYBRIDMASK_DESC","Start with a bonus attack and Poison 1.","","Empieza con una bonificación de ataque y 1 de veneno.","Vous débutez avec Attaque bonus +1&nbsp;et Poison +1.","Beginne jeden Kampf mit einem Bonusangriff und Gift&nbsp;1.","Inizi con un attacco bonus e Veleno 1.","Inicie com um ataque bônus e veneno 1.","Начинаете с бонусной атакой и Ядом 1.","","",""
"ARMOR_HYBRIDNECKLACE_NAME","Hybrid Necklace","","Gargantilla híbrida","Collier hybride","Hybridhalskette","Collana Ibrida","Colar Híbrido","Гибридное ожерелье","","",""
"ARMOR_HYBRIDNECKLACE_DESC","Start with +5 Charge and Bruise 1.","","Empieza con +5 de carga y 1 de moratón.","Vous débutez avec Charge +5&nbsp;et Contusion +1.","Beginne jeden Kampf mit +5&nbsp;Ladung und Beulen&nbsp;1.","Inizi con +5 Carica e Livido 1.","Inicie com +5 cargas e contusão 1.","Начинаете с +5 Заряда и Ушибом 1.","","",""
"SETBONUS_HYBRID_NAME","Hybrid Set Bonus!","","¡Bonificación de conjunto híbrido!","Bonus d'ensemble&nbsp;: hybride&nbsp;!","Setbonus: Hybridrüstung!","Bonus Set: Ibrido!","Bônus de Conjunto Híbrido!","Бонус гибридного комплекта!","","",""
"SETBONUS_HYBRID_DESC","Bruise 1. Poison 1. Bleed 1.
The first spell you cast each turn is cast twice.","","1 de moratón. 1 de veneno. 1 de hemorragia.
Se duplica el primer hechizo que se lance cada turno.","Contusion +1. Poison +1. Saignement +1.
Le premier sort que vous lancez chaque tour est lancé deux fois.","Beulen&nbsp;1. Gift&nbsp;1. Blutung&nbsp;1.
Der erste Zauber, den du pro Zug wirkst, wird zweimal gewirkt.","Livido 1. Veleno 1. Sanguinamento 1.
Il primo incantesimo che lanci ogni turno viene lanciato due volte.","Contusão 1. Veneno 1. Sangramento 1.
O primeiro encantamento que você lança em cada turno é lançado duas vezes.","Ушиб 1. Яд 1. Кровотечение 1.
Первое заклинание каждый ход применяется дважды.","","",""
"","","","","","","","","","","",""
"ARMOR_JANKMASK_NAME","Jank Alloy Mask","","Máscara de aleación cutre","Masque en alliage bancal","Minderwertig legierte Maske","Maschera in Lega Scadente","Máscara de Liga Improvisada","Маска из дрянного сплава","","",""
"ARMOR_JANKMASK_DESC","+1 Brace.
Brittle.","","+1 de refuerzo.
Endeblez.","Garde +1.
Cassant.","+1&nbsp;Wappnen.
Spröde.","+1 alla Guardia.
Friabile.","+1 de preparação.
Quebradiço.","+1 Стойка.
Хрупкость.","","",""
"ARMOR_JANKARMOR_NAME","Jank Alloy Armor","","Armadura de aleación cutre","Armure en alliage bancal","Minderwertig legierte Rüstung","Armatura in Lega Scadente","Armadura de Liga Improvisada","Броня из дрянного сплава","","",""
"ARMOR_JANKARMOR_DESC","+1 Brace.
Brittle.","","+1 de refuerzo.
Endeblez.","Garde +1.
Cassant.","+1&nbsp;Wappnen.
Spröde.","+1 alla Guardia.
Friabile.","+1 de preparação.
Quebradiço.","+1 Стойка.
Хрупкость.","","",""
"ARMOR_JANKHAT_NAME","Jank Alloy Hat","","Sombrero de aleación cutre","Chapeau en alliage bancal","Minderwertig Legierter Hut","Cappello in Lega Scadente","Chapéu de Liga Improvisada","Шляпа из дрянного сплава","","",""
"ARMOR_JANKHAT_DESC","+1 Brace.
Brittle.","","+1 de refuerzo.
Endeblez.","Garde +1.
Cassant.","+1&nbsp;Wappnen.
Spröde.","+1 alla Guardia.
Friabile.","+1 de preparação.
Quebradiço.","+1 Стойка.
Хрупкость.","","",""
"SETBONUS_JANKALLOY_NAME","Jank Alloy Set Bonus!","","¡Bonificación de conjunto de aleación cutre!","Bonus d'ensemble&nbsp;: alliage bancal&nbsp;!","Setbonus: Minderwertige Legierung!","Bonus Set: Lega Scadente!","Bônus de Conjunto de Liga Improvisada!","Бонус комплекта из дрянного сплава!","","",""
"SETBONUS_JANKALLOY_DESC","Jank Alloy Set Pieces are no longer Brittle.","","Las piezas de aleación cutre ya no sufren endeblez.","Les éléments de l'ensemble en alliage bancal ne sont plus Cassants.","Minderwertig legierte Setgegenstände sind nicht mehr spröde.","I pezzi del set in Lega Scadente non sono più friabili.","Peças do conjunto de liga improvisada não são mais quebradiças.","Части комплекта из дрянного сплава больше не хрупкие.","","",""
"","","","","","","","","","","",""
"ARMOR_CLOWNMAKEUP_NAME","Clown Makeup","","Maquillaje de payaso","Maquillage de clown","Clownschminke","Trucco da Clown","Maquiagem de Palhaço","Клоунский макияж","","",""
"ARMOR_CLOWNMAKEUP_DESC","Triple the effects of your Head armor.","","Triplica los efectos de la armadura para la cabeza.","Tripler les effets de votre pièce d'équipement de tête.","Verdreifache den Effekt deines Helms.","Triplica gli effetti della tua armatura per la testa.","Triplica os efeitos da sua armadura de cabeça.","Утраивает эффекты вашей брони на голову.","","",""
"ARMOR_CAPANDBELLS_NAME","Cap and Bells","","Gorro de bufón","Bonnet à clochettes","Narrenmütze","Cappello con Campanelle","Chapéu de Sino","Шутовской колпак","","",""
"ARMOR_CAPANDBELLS_DESC","Triple the effects of your Trinket.","","Triplica los efectos de la baratija.","Triple les effets de votre babiole.","Verdreifache den Effekt deines Zubehörs.","Triplica gli effetti del tuo ciondolo.","Triplica os efeitos do seu acessório.","Утраивает эффекты вашего аксессуара.","","",""
"ARMOR_RUFFLE_NAME","Ruffle","","Gorguera","Collerette","Rüschen","Balza","Gola","Жабо","","",""
"ARMOR_RUFFLE_DESC","Triple the effects of your Face armor.","","Triplica los efectos de la armadura para la cara.","Triple les effets de votre pièce d'équipement de visage.","Verdreifache den Effekt deiner Gesichtsbedeckung.","Triplica gli effetti della tua armatura per il viso.","Triplica os efeitos da sua armadura de rosto.","Утраивает эффекты вашей брони на лицо.","","",""
"SETBONUS_JESTER_NAME","Jester Set Bonus!","","¡Bonificación de conjunto de bufón!","Bonus d'ensemble&nbsp;: joker&nbsp;!","Setbonus: Narrenrüstung!","Bonus Set: Giullare!","Bônus de Conjunto de Bobo da Corte!","Бонус комплекта шута!","","",""
"SETBONUS_JESTER_DESC","+3 Rerolls when leveling up.","","+3 cambios al azar al subir de nivel.","Tirages de nouvelles options +3&nbsp;en montant de niveau.","Du kannst deine Auswahlmöglichkeiten dreimal neu generieren, wenn du ein Level aufsteigst.","+3 modifiche alle scelte quando sali di livello.","+3 chances de rolar novamente suas opções ao subir de nível.","+3 переброса при повышении уровня.","","",""
"","","","","","","","","","","",""
"ARMOR_LEADMASK_NAME","Lead Mask","","Máscara de plomo","Masque en plomb","Bleimaske","Maschera di Piombo","Máscara de Chumbo","Свинцовая маска","","",""
"ARMOR_LEADMASK_DESC","","","","","","","","","","",""
"ARMOR_LEADHELMET_NAME","Lead Helmet","","Casco de plomo","Casque en plomb","Bleihelm","Elmo di Piombo","Capacete de Chumbo","Свинцовый шлем","","",""
"ARMOR_LEADHELMET_DESC","","","","","","","","","","",""
"ARMOR_LEADSHOULDERPADS_NAME","Lead Shoulder Pads","","Hombreras de plomo","Épaulettes en plomb","Bleischulterpolster","Spalline di Piombo","Ombreiras de Chumbo","Свинцовые наплечники","","",""
"ARMOR_LEADSHOULDERPADS_DESC","","","","","","","","","","",""
"SETBONUS_LEAD_NAME","Lead Set Bonus!","","¡Bonificación de conjunto de plomo!","Bonus d'ensemble&nbsp;: plomb&nbsp;!","Setbonus: Bleirüstung!","Bonus Set: Piombo!","Bônus de Conjunto de Chumbo!","Бонус свинцового комплекта!","","",""
"SETBONUS_LEAD_DESC","Trample 9.","","9 de pisotón.","Piétinement 9.","Trampel&nbsp;9.","Calpestamento 9.","Atropelamento 9.","Растаптывание 9.","","",""
"","","","","","","","","","","",""
"ARMOR_LEAFYHAT_NAME","Leafy Hat","","Sombrero de hoja","Chapeau feuillu","Blatthut","Cappello di Foglie","Chapéu de Folha","Лиственная шляпа","","",""
"ARMOR_LEAFYHAT_DESC","While standing in tall grass, you have +3 Mana Regen and +1 Health Regen.","","En la hierba alta, esta unidad tiene +3 de regeneración de maná y +1 de regeneración de salud.","Régénération de mana +3&nbsp;et Régénération de PV +1&nbsp;dans les hautes herbes.","Du hast +3&nbsp;Manaregeneration und +1&nbsp;Lebensregeneration, während du in hohem Gras stehst.","Quando sei nell'erba alta, ottieni +3 a Rigenerazione Mana e +1 a Rigenerazione Salute.","Enquanto estiver em espaços de grama alta, você possui +3 de regeneração de mana e +1 de regeneração de saúde.","Стоя в высокой траве, вы получаете +3 к регенерации маны и +1 к регенерации здоровья.","","",""
"ARMOR_LEAFYMASK_NAME","Leafy Mask","","Máscara de hoja","Masque feuillu","Blattmaske","Maschera di Foglie","Máscara de Folha","Лиственная маска","","",""
"ARMOR_LEAFYMASK_DESC","While standing in tall grass, you have +40% Dodge Chance.","","En la hierba alta, esta unidad tiene +40 % de probabilidad de esquiva.","Chances d'esquive +40&nbsp;% dans les hautes herbes.","Du hast +40&nbsp;% Ausweichchance, während du in hohem Gras stehst.","Quando sei nell'erba alta, hai un +40% di probabilità di schivata.","Enquanto estiver em espaços de grama alta, você possui +40% de chance de esquiva.","Стоя в высокой траве, вы получаете +40% шанса уклонения.","","",""
"ARMOR_LEAFYNECKLACE_NAME","Leafy Necklace","","Gargantilla de hoja","Collier feuillu","Blatthalskette","Collana di Foglie","Colar de Folha","Лиственное ожерелье","","",""
"ARMOR_LEAFYNECKLACE_DESC","While standing in tall grass, you have +3 Health Regen and +1 Mana Regen.","","En la hierba alta, esta unidad tiene +3 de regeneración de maná y +1 de regeneración de salud.","Régénération de PV +3&nbsp;et Régénération de mana +1&nbsp;dans les hautes herbes.","Du hast +3&nbsp;Lebensregeneration und +1&nbsp;Manaregeneration, während du in hohem Gras stehst.","Quando sei nell'erba alta, ottieni +3 a Rigenerazione Salute e +1 a Rigenerazione Mana.","Enquanto estiver em espaços de grama alta, você possui +3 de regeneração de saúde e +1 de regeneração de mana.","Стоя в высокой траве, вы получаете +3 к регенерации здоровья и +1 к регенерации маны.","","",""
"SETBONUS_LEAFY_NAME","Leafy Set Bonus!","","¡Bonificación de conjunto de hoja!","Bonus d'ensemble&nbsp;: feuillu&nbsp;!","Setbonus: Blattrüstung!","Bonus Set: Foglie!","Bônus de Conjunto de Folha!","Бонус комплекта листвы!","","",""
"SETBONUS_LEAFY_DESC","If you end your turn with unused movement actions, heal 3 HP and gain +3 Charge.","","Si termina el turno con acciones de movimiento sin usar, recupera 3 PS y obtiene +3 de carga.","Rend 3&nbsp;PV et confère Charge +3&nbsp;si vous terminez votre tour avec des actions de déplacement inutilisées.","Wenn du deinen Zug mit unbenutzten Bewegungsaktionen beendest, heilst du dich um 3&nbsp;LP und erhältst +3&nbsp;Ladung.","Se termini il tuo turno con azioni di movimento non utilizzate, recuperi 3 PS e ottieni +3 Carica.","Ao finalizar seu turno com ações de movimento não utilizadas, cure 3 PV e obtenha +3 cargas.","Если вы завершаете ход с неиспользованными действиями передвижения, восстанавливаете 3 ОЗ и получаете +3 заряда.","","",""
"","","","","","","","","","","",""
"ARMOR_LEATHERHAT_NAME","Leather Cap","","Gorra de cuero","Calotte en cuir","Lederkappe","Cappello di Cuoio","Chapéu de Couro","Кожаная шапка","","",""
"ARMOR_LEATHERHAT_DESC","+1 Brace.","","+1 de refuerzo.","Garde +1.","+1&nbsp;Wappnen.","+1 alla Guardia.","+1 de preparação.","+1 к стойке.","","",""
"ARMOR_LEATHERMASK_NAME","Leather Mask","","Máscara de cuero","Masque en cuir","Ledermaske","Maschera di Cuoio","Máscara de Couro","Кожаная маска","","",""
"ARMOR_LEATHERMASK_DESC","+1 Brace.","","+1 de refuerzo.","Garde +1.","+1&nbsp;Wappnen.","+1 alla Guardia.","+1 de preparação.","+1 к стойке.","","",""
"ARMOR_LEATHERARMOR_NAME","Leather Choker","","Collera de cuero","Tour de cou en cuir","Lederhalsreif","Girocollo di Cuoio","Gargantilha de Couro","Кожаный чокер","","",""
"ARMOR_LEATHERARMOR_DESC","+1 Brace.","","+1 de refuerzo.","Garde +1.","+1&nbsp;Wappnen.","+1 alla Guardia.","+1 de preparação.","+1 к стойке.","","",""
"SETBONUS_LEATHER_NAME","Leather Set Bonus!","","¡Bonificación de conjunto de cuero!","Bonus d'ensemble&nbsp;: cuir&nbsp;!","Setbonus: Lederrüstung!","Bonus Set: Cuoio!","Bônus de Conjunto de Couro!","Бонус кожаного комплекта!","","",""
"SETBONUS_LEATHER_DESC","","","","","","","","","","",""
"","","","","","","","","","","",""
"SETBONUS_LEECH_NAME","Leech Set Bonus!","","¡Bonificación de conjunto de sanguijuela!","Bonus d'ensemble&nbsp;: sangsue&nbsp;!","Setbonus: Blutegel!","Bonus Set: Sanguisuga!","Bônus de Conjunto de Sanguessuga!","Бонус комплекта пиявки!","","",""
"SETBONUS_LEECH_DESC","Start battle with 4 beefy Leech familiars.","","Comienza el combate con 4 familiares sanguijuelas muy guerrilleros.","Vous débutez le combat avec 4&nbsp;sangsues baraquées de compagnie.","Beginne den Kampf mit 4&nbsp;fetten Blutegelbegleitern.","Inizi la battaglia con 4 famigli Sanguisuga robusti.","Inicie a batalha com 4 sanguessugas robustas.","Начинайте бой с 4 мощными фамильярами-пиявками.","","",""
"","","","","","","","","","","",""
"ARMOR_LUCKYHAT_NAME","Lucky Hat","","Sombrero de la suerte","Chapeau chanceux","Glückshut","Cappello Fortunato","Chapéu da Sorte","Счастливая шляпа","","",""
"ARMOR_LUCKYHAT_DESC","Fragile.","","Fragilidad.","Fragile.","Zerbrechlich.","Fragile.","Frágil.","Хрупкость.","","",""
"ARMOR_LUCKYMASK_NAME","Lucky Clover","","Trébol de la suerte","Trèfle porte-bonheur","Glücksklee","Quadrifoglio Fortunato","Trevo da Sorte","Счастливый клевер","","",""
"ARMOR_LUCKYMASK_DESC","Fragile.","","Fragilidad.","Fragile.","Zerbrechlich.","Fragile.","Frágil.","Хрупкость.","","",""
"ARMOR_LUCKYARMOR_NAME","Lucky Horseshoe","","Herradura de la suerte","Fer à cheval","Glückshufeisen","Ferro di Cavallo Fortunato","Ferradura da Sorte","Счастливая подкова","","",""
"ARMOR_LUCKYARMOR_DESC","Fragile.","","Fragilidad.","Fragile.","Zerbrechlich.","Fragile.","Frágil.","Хрупкость.","","",""
"SETBONUS_LUCKY_NAME","Lucky Set Bonus!","","¡Bonificación de conjunto de la suerte!","Bonus d'ensemble&nbsp;: veinard&nbsp;!","Setbonus: Glücksrüstung!","Bonus Set: Fortuna!","Bônus de Conjunto da Sorte!","Бонус счастливого комплекта!","","",""
"SETBONUS_LUCKY_DESC","Spawn 5-10 extra coins on each map.
Lucky Set Pieces are no longer Fragile.","","Genera 5-10 monedas extras en cada mapa.
Las piezas de la suerte ya no sufren fragilidad.","Fait apparaître 5&nbsp;à 10&nbsp;pièces bonus sur chaque carte.
Les éléments de l'ensemble chanceux ne sont plus Fragiles.","Lasse auf jeder Karte 5&nbsp;– 10 zusätzliche Münzen erscheinen.
Glückssetgegenstände sind nicht mehr zerbrechlich.","Generi 5-10 monete aggiuntive in ogni mappa.
I pezzi del set Fortuna non sono più fragili.","Gere 5-10 moedas adicionais em cada mapa.
Peças do conjunto da sorte não são mais frágeis.","На каждой карте появляется 5-10 дополнительных монет.
Части счастливого комплекта больше не хрупкие.","","",""
"","","","","","","","","","","",""
"ARMOR_MAGEHAT_NAME","Mage's Hat","","Gorro de mago","Chapeau de mage","Magierhut","Cappello del Mago","Chapéu de Mago","Шляпа мага","","",""
"ARMOR_MAGEHAT_DESC","Gain +1 Charge each time you cast a spell.","","Obtiene +1 de carga cada vez que lanza un hechizo.","Charge +1&nbsp;chaque fois que vous lancez un sort.","Erhalte jedes Mal, wenn du einen Zauber wirkst, +1&nbsp;Ladung.","Ottieni +1 Carica ogni volta che lanci un incantesimo.","Obtenha +1 carga sempre que lançar um encantamento.","Получаете +1 заряд каждый раз при произнесении заклинания.","","",""
"ARMOR_MAGEROBE_NAME","Mage's Robe","","Túnica de mago","Robe de mage","Magierrobe","Tunica del Mago","Robe de Mago","Мантия мага","","",""
"ARMOR_MAGEROBE_DESC","Gain +1 Charge when you deal damage with your basic attack.","","Obtiene +1 de carga al infligir daño con el ataque básico.","Charge +1&nbsp;quand vous infligez des dégâts avec votre attaque de base.","Erhalte jedes Mal, wenn du mit deinem Grundangriff Schaden verursachst, +1&nbsp;Ladung.","Ottieni +1 Carica quando infliggi danno con il tuo attacco base.","Obtenha +1 carga ao causar dano com seu ataque básico.","Получаете +1 заряд при нанесении урона базовой атакой.","","",""
"ARMOR_MAGESCARF_NAME","Mage's Scarf","","Bufanda de mago","Écharpe de mage","Magierschal","Sciarpa del Mago","Lenço de Mago","Шарф мага","","",""
"ARMOR_MAGESCARF_DESC","Gain +1 Charge each time an enemy dies.","","Obtiene +1 de carga cada vez que muere un enemigo.","Charge +1&nbsp;à chaque fois qu'un ennemi meurt.","Erhalte jedes Mal, wenn ein Gegner stirbt, +1&nbsp;Ladung.","Ottieni +1 Carica ogni volta che un nemico muore.","Obtenha +1 carga a cada vez que um inimigo morrer.","Получаете +1 заряд каждый раз при гибели врага.","","",""
"SETBONUS_MAGE_NAME","Mage Set Bonus!","","¡Bonificación de conjunto de mago!","Bonus d'ensemble&nbsp;: mage&nbsp;!","Setbonus: Magierrüstung!","Bonus Set: Mago!","Bônus de Conjunto de Mago!","Бонус комплекта мага!","","",""
"SETBONUS_MAGE_DESC","+5 starting mana.","","+5 de maná inicial.","Mana de départ +5.","+5&nbsp;Mana zu Beginn.","+5 mana iniziale.","+5 de mana inicial.","+5 к начальной мане.","","",""
"","","","","","","","","","","",""
"ARMOR_MANGLASSES_NAME","Man's Glasses","","Gafas para hombre","Lunettes d'homme","Männerbrille","Occhiali da Uomo","Óculos de Homem","Мужские очки","","",""
"ARMOR_MANGLASSES_DESC","Physical attacks can't miss.
Spawn 1-2 extra pickups at the start of each battle.","","Los ataques físicos no pueden fallar.
Genera 1-2 recogibles extras al inicio de cada combate.","Les attaques physiques ne peuvent pas échouer.
Fait apparaître 1&nbsp;à 2&nbsp;ressources bonus au début de chaque combat.","Physische Angriffe können nicht verfehlen.
Lasse am Anfang jedes Kampfes 1&nbsp;– 2 zusätzliche Gegenstände erscheinen.","Gli attacchi fisici non possono mancare il bersaglio.
Generi 1-2 oggetti extra all'inizio di ogni battaglia.","Ataques físicos não podem errar.
Gere 1-2 moedas adicionais no início de cada batalha.","Физические атаки не могут промахнуться.
В начале каждого боя появляется 1-2 дополнительных подбираемых предмета.","","",""
"ARMOR_MANHAIR_NAME","Man's Hairpiece","","Bisoñé para hombre","Coiffure d'homme","Männertoupet","Toupet da Uomo","Peruca de Homem","Мужской парик","","",""
"ARMOR_MANHAIR_DESC","","","","","","","","","","",""
"ARMOR_MANTIE_NAME","Man's Tie","","Corbata para hombre","Cravate d'homme","Männerkrawatte","Cravatta da Uomo","Gravata de Homem","Мужской галстук","","",""
"ARMOR_MANTIE_DESC","","","","","","","","","","",""
"SETBONUS_MAN_NAME","Man Set Bonus!","","¡Bonificación de conjunto para hombre!","Bonus d'ensemble&nbsp;: homme&nbsp;!","Setbonus: Männerrüstung!","Bonus Set: Uomo!","Bônus de Conjunto de Homem!","Бонус мужского комплекта!","","",""
"SETBONUS_MAN_DESC","Gain 1-9 coins at the end of each battle.","","Obtiene 1-9 monedas al final de cada combate.","Vous obtenez 1&nbsp;à 9&nbsp;pièces à la fin de chaque combat.","Erhalte am Anfang jedes Kampfes 1&nbsp;– 9 Münzen.","Ottieni da 1 a 9 monete alla fine di ogni battaglia.","Obtenha 1-9 moedas no final de cada batalha.","Получаете 1-9 монет в конце каждого боя.","","",""
"","","","","","","","","","","",""
"ARMOR_REDCAP_NAME","Red Cap","","Gorra roja","Calotte rouge","Rote Kappe","Berretto Rosso","Chapéu Vermelho","Красная шапка","","",""
"ARMOR_REDCAP_DESC","+1 Damage.
Gain +1 Damage when you kill an enemy.","","+1 de daño.
Obtiene +1 de daño al matar a un enemigo.","Dégâts +1.
Dégâts +1&nbsp;à chaque ennemi tué.","+1&nbsp;Schaden.
Erhalte +1&nbsp;Schaden, wenn du einen Gegner tötest.","+1 al Danno.
Ottieni +1 al Danno quando uccidi un nemico.","+1 de dano.
Obtenha +1 de dano ao matar um inimigo.","+1 к урону.
+1 к урону при убийстве врага.","","",""
"ARMOR_CRIMSONMASK_NAME","Crimson Mask","","Máscara carmesí","Masque écarlate","Scharlachrote Maske","Maschera Cremisi","Máscara Escarlate","Багровая маска","","",""
"ARMOR_CRIMSONMASK_DESC","+1 Damage.
Gain +1 Damage when you kill an enemy.","","+1 de daño.
Obtiene +1 de daño al matar a un enemigo.","Dégâts +1.
Dégâts +1&nbsp;à chaque ennemi tué.","+1&nbsp;Schaden.
Erhalte +1&nbsp;Schaden, wenn du einen Gegner tötest.","+1 al Danno.
Ottieni +1 al Danno quando uccidi un nemico.","+1 de dano.
Obtenha +1 de dano ao matar um inimigo.","+1 к урону.
+1 к урону при убийстве врага.","","",""
"ARMOR_POUNDOFFLESH_NAME","Pound of Flesh","","Medio kilo de carne","Tas de viande","Ein Pfund Fleisch","Libbra di Carne","Uma Libra de Carne","Фунт плоти","","",""
"ARMOR_POUNDOFFLESH_DESC","+1 Damage.
Gain +1 Damage when you kill an enemy.","","+1 de daño.
Obtiene +1 de daño al matar a un enemigo.","Dégâts +1.
Dégâts +1&nbsp;à chaque ennemi tué.","+1&nbsp;Schaden.
Erhalte +1&nbsp;Schaden, wenn du einen Gegner tötest.","+1 al Danno.
Ottieni +1 al Danno quando uccidi un nemico.","+1 de dano.
Obtenha +1 de dano ao matar um inimigo.","+1 к урону.
+1 к урону при убийстве врага.","","",""
"SETBONUS_MEAT_NAME","Meat Set Bonus!","","¡Bonificación de conjunto de carne!","Bonus d'ensemble&nbsp;: viande&nbsp;!","Setbonus: Fleischrüstung!","Bonus Set: Carne!","Bônus de Conjunto de Carne!","Бонус мясного комплекта!","","",""
"SETBONUS_MEAT_DESC","+1 Damage.
Gain +1 Damage when you get a kill.
After three kills, gains +2 [img:con], +4 Health Regen and Madness for the rest of the battle.","","+1 de daño.
Obtiene +1 de daño al matar a una unidad.
Después de tres muertes, obtiene +2 [img:con], +4 de regeneración de salud y locura durante el resto del combate.","Dégâts +1.
Dégâts +1&nbsp;quand vous tuez un ennemi.
Après 3&nbsp;éliminations, [img:con] +2, Régénération de PV +4&nbsp;et Folie pour le reste du combat.","+1&nbsp;Schaden.
Erhalte +1 Schaden, wenn du etwas tötest.
Nachdem du drei Einheiten getötet hast, erhältst du für den Rest des Kampfes +2&nbsp;[img:con], +4&nbsp;Lebensregeneration und Wahnsinn.","+1 al Danno.
Ottieni +1 al Danno quando uccidi qualcuno.
Dopo tre uccisioni, ottieni +2 alla [img:con], +4 a Rigenerazione Salute e Pazzia per il resto della battaglia.","+1 de dano.
Obtenha +1 de dano ao matar um inimigo.
Após realizar três baixas, obtenha +2 de [img:con], +4 de regeneração de saúde e insanidade pelo resto da batalha.","+1 к урону.
+1 к урону при убийстве.
После трёх убийств получаете +2 [img:con], +4 к регенерации здоровья и Безумие на оставшуюся часть боя.","","",""
"","","","","","","","","","","",""
"ARMOR_MEDICALHAT_NAME","Medical Hat","","Gorro médico","Coiffe médicale","Arzthut","Cappello Medico","Chapéu de Médico","Медицинская шапочка","","",""
